VentaID;FechaVenta;HoraVenta;SucursalNombre;CiudadSucursal;VendedorNombre;ClienteNombre;GeneroCliente;EdadCliente;EmailCliente;TelefonoCliente;DireccionCliente;MetodoPago;NombreProducto1;MarcaProducto1;CantidadProducto1;PrecioUnitarioProducto1;SubtotalProducto1;NombreProducto2;MarcaProducto2;CantidadProducto2;PrecioUnitarioProducto2;SubtotalProducto2;NombreProducto3;MarcaProducto3;CantidadProducto3;PrecioUnitarioProducto3;SubtotalProducto3;DescuentoVenta;TotalVenta
270;16/09/2019;12:58:27 p. m.;Techcore Bogotá #1;Bogotá;Poncio Gabriel Poza Acedo;Modesto Carrillo Malo;M;41;modesto83@gmail.com;+34876116580;cra 68 #49-76;Tarjeta Crédito;Asus VivoBook 15;Asus;1;2400000;2400000;;;null;null;null;;;null;null;null;5;2280000
271;13/07/2016;11:06:05 a. m.;Techcore Medellín #1;Medellín;Dominga del Alcántara;Encarna Soledad Acosta Gonzalo;F;20;encarna32@gmail.com;+34922164556;cra 10 #39-47;Tarjeta Débito;Lenovo Legion 5 Pro;Lenovo;2;7200000;14400000;HP Spectre x360;HP;2;5200000;10400000;Lenovo IdeaPad 5;Lenovo;1;2800000;2800000;5;26220000
272;12/01/2021;2:35:47 p. m.;Techcore Cali;Cali;Florencio Iker Vara Nebot;Cipriano Guzman Villar;M;43;cipriano18@hotmail.com;+34737778039;cll 53 #63-73;Transferencia;Dell Inspiron 15;Dell;1;3000000;3000000;;;null;null;null;;;null;null;null;0;3000000
273;5/01/2017;8:43:54 a. m.;Techcore Medellín #1;Medellín;Dominga del Alcántara;Judith Samper Gibert;F;37;judith83@yahoo.com;+34901108656;cll 19 #21-31;Tarjeta Crédito;HP Spectre x360;HP;2;5200000;10400000;;;null;null;null;;;null;null;null;0;10400000
274;23/01/2018;7:49:52 a. m.;Techcore Cali;Cali;Clímaco Salinas Zabaleta;Enrique del Marquez;M;46;No especificado;+34873111253;cra 27 #24-87;Tarjeta Crédito;Lenovo ThinkPad X1 Carbon;Lenovo;1;6800000;6800000;;;null;null;null;;;null;null;null;15;5780000
275;16/11/2024;1:35:12 p. m.;Techcore Medellín #2;Medellín;Juanito Diaz;Benigno Solé Múñiz;M;48;benigno57@yahoo.com;+34981054625;cra 94 #33-89;Tarjeta Débito;Dell Inspiron 15;Dell;2;3000000;6000000;Lenovo IdeaPad 5;Lenovo;1;2800000;2800000;;;null;null;null;0;8800000
276;30/10/2017;2:20:59 p. m.;Techcore Bogotá #2;Bogotá;Armida Azorin Plaza;Benito Gomila Esteban;M;44;benito43@hotmail.com;+34944281975;cra 32 #49-29;Tarjeta Crédito;Dell Latitude 7420;Dell;2;5600000;11200000;;;null;null;null;;;null;null;null;0;11200000
277;29/09/2021;11:43:29 a. m.;Techcore Bogotá #2;Bogotá;Edu Juan Pedraza;Itziar Almazán-Ojeda;F;48;itziar35@hotmail.com;+34845280636;cra 21 #57-97;Efectivo;Asus ROG Strix G15;Asus;2;6400000;12800000;HP Omen 16;HP;2;6000000;12000000;;;null;null;null;0;24800000
278;11/01/2023;7:29:53 a. m.;Techcore Medellín #2;Medellín;Juan José Porcel-Riera;Casemiro Bustamante Fabregat;M;20;casemiro73@gmail.com;+34820999236;cll 97 #41-32;Tarjeta Crédito;Apple MacBook Pro 14;Apple;2;8000000;16000000;Lenovo Legion 5 Pro;Lenovo;2;7200000;14400000;;;null;null;null;0;30400000
279;20/10/2023;9:29:59 p. m.;Techcore Bogotá #2;Bogotá;Armida Azorin Plaza;Amador Sarmiento Llanos;M;50;amador14@gmail.com;+34927765552;cll 99 #3-66;Tarjeta Débito;Lenovo Yoga 7i;Lenovo;2;4400000;8800000;Apple MacBook Pro 14;Apple;1;8000000;8000000;;;null;null;null;1;15120000
280;10/03/2022;7:16:53 a. m.;Techcore Pereira;Pereira;Jose Angel Rovira Adadia;Teresita Porta-Verdugo;F;29;teresita9@hotmail.com;+34901403227;cra 80 #89-75;Efectivo;Apple MacBook Pro 16;Apple;1;9600000;9600000;Lenovo ThinkPad X1 Carbon;Lenovo;1;6800000;6800000;;;null;null;null;0;16400000
281;13/03/2018;2:14:02 p. m.;Techcore Medellín #2;Medellín;Luisina Lasa;Melisa de Aguiló;F;32;melisa81@hotmail.com;+34823713954;cra 98 #70-65;Billetera Digital;Dell Alienware m15;Dell;2;8000000;16000000;HP Spectre x360;HP;2;5200000;10400000;Lenovo Legion 5 Pro;Lenovo;2;7200000;14400000;1;36720000
282;3/02/2017;1:17:32 a. m.;Techcore Pereira;Pereira;María Ramírez Pou;Olga Blazquez Vilar;F;45;No especificado;+34936163026;cll 70 #87-38;Transferencia;Dell Latitude 7420;Dell;2;5600000;11200000;Lenovo Legion 5 Pro;Lenovo;1;7200000;7200000;Lenovo Yoga 7i;Lenovo;1;4400000;4400000;1;20520000
283;19/01/2023;12:35:47 p. m.;Techcore Medellín #2;Medellín;Almudena Adelaida Lledó Garrido;Flor Uriarte;F;25;flor80@gmail.com;+34921372116;cra 29 #11-40;Billetera Digital;HP Spectre x360;HP;2;5200000;10400000;HP Omen 16;HP;1;6000000;6000000;;;null;null;null;0;16400000
284;15/07/2021;2:03:35 a. m.;Techcore Bogotá #2;Bogotá;Armida Azorin Plaza;Telmo Girona-Mendizábal;M;23;telmo4@hotmail.com;+34925014202;cra 96 #84-89;Tarjeta Crédito;Samsung Galaxy Book Flex;Samsung;1;5600000;5600000;Apple MacBook Pro 14;Apple;2;8000000;16000000;Lenovo Yoga 7i;Lenovo;1;4400000;4400000;0;26000000
285;13/09/2022;2:01:44 a. m.;Techcore Bogotá #2;Bogotá;Armida Azorin Plaza;Agustín Danilo Guijarro Guillen;M;41;agustin76@yahoo.com;No especificado;cra 38 #72-70;Efectivo;Apple MacBook Air M1;Apple;2;5500000;11000000;;;null;null;null;;;null;null;null;0;11000000
286;24/03/2017;8:58:09 p. m.;Techcore Pereira;Pereira;Jose Angel Rovira Adadia;Vito Adán Villalonga;M;48;vito52@hotmail.com;+34949542600;cll 86 #82-62;Transferencia;Dell Inspiron 15;Dell;1;3000000;3000000;Asus ZenBook 14;Asus;2;3800000;7600000;;;null;null;null;5;10070000
287;23/11/2019;12:29:45 p. m.;Techcore Bogotá #1;Bogotá;Evaristo Guillen Peña;Martín Calvo Galván;M;27;martin23@hotmail.com;+34928502264;cll 96 #94-63;Tarjeta Débito;Lenovo Legion 5 Pro;Lenovo;2;7200000;14400000;;;null;null;null;;;null;null;null;1;12960000
288;8/02/2022;8:55:04 p. m.;Techcore Bogotá #2;Bogotá;Eloísa Plaza Hurtado;Evaristo Jordi Hernando Luz;M;46;evaristo59@gmail.com;+34848734009;cll 9 #43-60;Tarjeta Débito;Asus VivoBook 15;Asus;2;2400000;4800000;Lenovo ThinkPad X1 Carbon;Lenovo;2;6800000;13600000;Acer Nitro 5;Acer;1;4000000;4000000;0;22400000
289;13/09/2024;6:20:15 p. m.;Techcore Bogotá #2;Bogotá;Edu Juan Pedraza;Marcelo Buendía Abril;M;37;marcelo57@hotmail.com;+34828364408;cra 5 #17-93;Tarjeta Débito;Dell XPS 13;Dell;2;4800000;9600000;Apple MacBook Pro 14;Apple;2;8000000;16000000;Dell Inspiron 15;Dell;2;3000000;6000000;1;28440000
290;10/08/2016;12:38:03 p. m.;Techcore Medellín #1;Medellín;Ibán López Córdoba;Lorena Amat Aramburu;F;26;lorena83@gmail.com;+34902527307;cra 28 #37-87;Tarjeta Débito;Acer Nitro 5;Acer;1;4000000;4000000;Apple iMac 24;Apple;2;6400000;12800000;Dell Inspiron 15;Dell;1;3000000;3000000;0;19800000
291;8/02/2015;10:03:57 p. m.;Techcore Medellín #2;Medellín;Luisina Lasa;Carolina Miralles;F;48;carolina88@hotmail.com;+34848743275;cra 3 #89-49;No Especificado;Dell Inspiron 15;Dell;2;3000000;6000000;Dell XPS 13;Dell;1;4800000;4800000;;;null;null;null;0;10800000
292;26/08/2025;11:38:22 p. m.;Techcore Medellín #2;Medellín;Juanito Diaz;Soledad Esteban Araujo;F;20;soledad61@gmail.com;+34846916710;cll 84 #31-67;Billetera Digital;HP Pavilion 15;HP;1;3500000;3500000;Lenovo ThinkPad X1 Carbon;Lenovo;2;6800000;13600000;Microsoft Surface Book 3;Microsoft;1;6400000;6400000;5;22325000
293;25/07/2018;5:56:48 a. m.;Techcore Medellín #1;Medellín;Ibán López Córdoba;Guillermo Torrents Sales;M;51;guillermo20@yahoo.com;+34986056673;cra 17 #36-10;Billetera Digital;Dell Alienware m15;Dell;2;8000000;16000000;Acer Aspire 5;Acer;2;2000000;4000000;;;null;null;null;0;20000000
294;22/05/2022;12:09:40 p. m.;Techcore Bogotá #1;Bogotá;Griselda Arnaiz Palacio;Ofelia Torrecilla Dominguez;F;33;ofelia58@yahoo.com;+34981838943;cra 5 #83-90;Efectivo;HP Spectre x360;HP;2;5200000;10400000;;;null;null;null;;;null;null;null;0;10400000
295;9/05/2021;12:38:41 p. m.;Techcore Pereira;Pereira;María Ramírez Pou;Heliodoro Cortina;M;51;heliodoro79@gmail.com;+34944832425;cll 99 #63-96;Tarjeta Crédito;HP Spectre x360;HP;1;5200000;5200000;;;null;null;null;;;null;null;null;5;4940000
296;23/05/2015;7:38:05 a. m.;Techcore Pereira;Pereira;María Ramírez Pou;Reynaldo Peiró Sala;M;51;reynaldo16@hotmail.com;+34988940630;cll 40 #66-73;Tarjeta Crédito;HP Spectre x360;HP;1;5200000;5200000;Lenovo Legion 5 Pro;Lenovo;2;7200000;14400000;Dell Latitude 7420;Dell;2;5600000;11200000;1;27720000
297;30/07/2019;5:36:57 p. m.;Techcore Medellín #1;Medellín;Eusebia Jara Macias;Francisco Javier Santiago;M;39;francisco43@gmail.com;+34803837284;cll 4 #66-25;Tarjeta Crédito;Dell Inspiron 15;Dell;1;3000000;3000000;Apple MacBook Air M1;Apple;2;5500000;11000000;;;null;null;null;5;13300000
298;30/09/2020;4:05:11 p. m.;Techcore Medellín #1;Medellín;Ibán López Córdoba;Juanita Solís;F;37;juanita85@gmail.com;+34822811424;cll 15 #89-47;Tarjeta Débito;HP Envy 13;HP;2;4000000;8000000;Apple iMac 24;Apple;2;6400000;12800000;;;null;null;null;0;20800000
299;11/10/2018;3:58:27 a. m.;Techcore Medellín #1;Medellín;Ibán López Córdoba;Diana Baeza Múñiz;F;33;diana31@yahoo.com;+34820006121;cll 19 #34-67;Tarjeta Crédito;Asus VivoBook 15;Asus;1;2400000;2400000;Dell Latitude 7420;Dell;1;5600000;5600000;;;null;null;null;5;7600000
300;10/09/2024;11:37:31 a. m.;Techcore Bogotá #2;Bogotá;Eloísa Plaza Hurtado;Tomás Sotelo Bárcena;M;42;tomas91@gmail.com;+34884963903;cra 87 #87-10;Tarjeta Débito;Lenovo ThinkPad X1 Carbon;Lenovo;1;6800000;6800000;;;null;null;null;;;null;null;null;0;6800000
301;14/05/2023;1:00:30 a. m.;Techcore Bogotá #2;Bogotá;Eloísa Plaza Hurtado;Nico Santamaria Benitez;M;20;nico97@gmail.com;+34883865104;cra 16 #5-27;Tarjeta Débito;HP Omen 16;HP;2;6000000;12000000;Apple iMac 24;Apple;2;6400000;12800000;Apple MacBook Pro 16;Apple;2;9600000;19200000;0;44000000
302;13/10/2014;2:49:53 a. m.;Techcore Pereira;Pereira;Amílcar Ortega-Alberto;Néstor Feijoo Barral;M;18;nestor70@hotmail.com;+34845821408;cll 38 #92-25;Tarjeta Crédito;HP Pavilion 15;HP;1;3500000;3500000;Microsoft Surface Laptop 4;Microsoft;2;5200000;10400000;;;null;null;null;0;13900000
303;7/04/2025;5:29:27 p. m.;Techcore Medellín #1;Medellín;Ibán López Córdoba;Esperanza de Castelló;F;29;esperanza49@yahoo.com;+34874623130;cll 22 #16-42;Transferencia;Apple MacBook Pro 14;Apple;2;8000000;16000000;;;null;null;null;;;null;null;null;1;14400000
304;31/08/2017;11:00:25 a. m.;Techcore Pereira;Pereira;María Ramírez Pou;Buenaventura Coronado Carnero;M;30;buenaventura61@yahoo.com;+34826734299;cra 64 #51-39;Billetera Digital;Lenovo ThinkPad X1 Carbon;Lenovo;2;6800000;13600000;Dell Latitude 7420;Dell;2;5600000;11200000;Acer Swift 3;Acer;1;2600000;2600000;0;27400000
305;24/09/2021;5:22:49 a. m.;Techcore Medellín #1;Medellín;Eusebia Jara Macias;Julia Beltran Novoa;F;22;julia39@gmail.com;+34887639690;cra 49 #12-67;Transferencia;HP Envy 13;HP;1;4000000;4000000;;;null;null;null;;;null;null;null;0;4000000
306;19/01/2022;6:29:04 a. m.;Techcore Medellín #2;Medellín;Juanito Diaz;Sol Agullo Sosa;F;30;sol82@hotmail.com;+34985756241;cra 54 #77-24;No Especificado;Apple MacBook Pro 16;Apple;2;9600000;19200000;;;null;null;null;;;null;null;null;1;17280000
307;21/05/2022;12:07:29 a. m.;Techcore Cali;Cali;Clímaco Salinas Zabaleta;Roque Palomino;M;51;roque77@hotmail.com;+34926864208;cra 88 #93-88;Transferencia;Acer Aspire 5;Acer;1;2000000;2000000;Lenovo IdeaPad 5;Lenovo;1;2800000;2800000;;;null;null;null;1;4320000
308;27/02/2025;12:00:18 p. m.;Techcore Cali;Cali;Rosendo Barberá Cordero;Clementina Iborra Grau;F;47;clementina17@gmail.com;+34921382257;cll 24 #70-14;Tarjeta Débito;Dell XPS 13;Dell;2;4800000;9600000;HP Omen 16;HP;2;6000000;12000000;;;null;null;null;5;20520000
309;1/05/2020;10:46:32 a. m.;Techcore Medellín #1;Medellín;Dominga del Alcántara;Juanito Luciano Abella Nogués;M;20;juanito85@yahoo.com;+34949849468;cra 70 #82-61;Tarjeta Crédito;Lenovo Yoga 7i;Lenovo;1;4400000;4400000;Apple MacBook Air M1;Apple;2;5500000;11000000;Lenovo Legion 5 Pro;Lenovo;1;7200000;7200000;5;21470000
310;13/06/2025;5:59:48 p. m.;Techcore Medellín #1;Medellín;Dominga del Alcántara;Duilio Osorio Bou;M;29;duilio15@gmail.com;+34876205646;cra 61 #97-58;Tarjeta Débito;Apple MacBook Air M1;Apple;2;5500000;11000000;Acer Aspire 5;Acer;1;2000000;2000000;;;null;null;null;5;12350000
311;10/05/2023;8:42:20 a. m.;Techcore Medellín #2;Medellín;Luisina Lasa;Leonel Vallejo Galiano;M;42;leonel93@gmail.com;+34919116557;cll 84 #79-42;Transferencia;Dell Alienware m15;Dell;2;8000000;16000000;Lenovo IdeaPad 5;Lenovo;1;2800000;2800000;Apple MacBook Pro 14;Apple;1;8000000;8000000;0;26800000
312;15/01/2017;11:39:50 a. m.;Techcore Bogotá #2;Bogotá;Herminia Meléndez-Huguet;Jose Luis Acosta-Coloma;M;35;jose32@hotmail.com;+34841838765;cra 93 #75-63;Billetera Digital;Dell XPS 13;Dell;1;4800000;4800000;;;null;null;null;;;null;null;null;0;4800000
313;13/03/2022;4:21:44 p. m.;Techcore Pereira;Pereira;Anacleto Morera Segovia;Flavio de Royo;M;20;flavio95@hotmail.com;+34978513329;cll 22 #59-64;Billetera Digital;Dell Latitude 7420;Dell;2;5600000;11200000;;;null;null;null;;;null;null;null;5;10640000
314;27/01/2019;10:20:14 a. m.;Techcore Medellín #1;Medellín;Ana Sofía Llopis Blázquez;Antonia Armas-Campillo;F;46;antonia89@yahoo.com;+34928789894;cra 32 #92-26;Tarjeta Crédito;MSI GS66 Stealth;MSI;1;8000000;8000000;HP Spectre x360;HP;1;5200000;5200000;;;null;null;null;0;13200000
315;11/01/2015;1:35:13 p. m.;Techcore Bogotá #2;Bogotá;Herminia Meléndez-Huguet;Dani Mancebo Barriga;M;36;dani17@yahoo.com;+34873197454;cra 79 #43-80;Tarjeta Débito;Lenovo Legion 5 Pro;Lenovo;2;7200000;14400000;;;null;null;null;;;null;null;null;0;14400000
316;9/05/2025;11:54:58 a. m.;Techcore Medellín #2;Medellín;Luisina Lasa;Samuel Cordero-Calvet;M;49;samuel60@yahoo.com;+34874645281;cll 42 #5-4;Tarjeta Débito;Dell Latitude 7420;Dell;2;5600000;11200000;Dell Alienware m15;Dell;1;8000000;8000000;Lenovo Legion 5 Pro;Lenovo;1;7200000;7200000;0;26400000
317;15/06/2015;5:21:37 a. m.;Techcore Bogotá #1;Bogotá;Aura del Bermúdez;Juliana Corona Cordero Verdugo;F;33;juliana46@gmail.com;+34821464482;cra 59 #71-22;Tarjeta Crédito;Apple MacBook Pro 14;Apple;2;8000000;16000000;Apple MacBook Air M1;Apple;2;5500000;11000000;;;null;null;null;0;27000000
318;23/01/2024;3:19:18 a. m.;Techcore Bogotá #1;Bogotá;Griselda Arnaiz Palacio;Mariano del Borrego;M;27;mariano29@gmail.com;+34874135283;cll 12 #4-51;Efectivo;HP Pavilion 15;HP;2;3500000;7000000;;;null;null;null;;;null;null;null;5;6650000
319;7/02/2021;4:03:58 a. m.;Techcore Pereira;Pereira;Carina Parejo Carranza;Florencia Pozo Cabezas;F;22;florencia44@yahoo.com;+34923244993;cra 74 #2-2;Tarjeta Crédito;Lenovo ThinkPad X1 Carbon;Lenovo;2;6800000;13600000;;;null;null;null;;;null;null;null;1;12240000
320;12/12/2017;8:54:25 a. m.;Techcore Medellín #2;Medellín;Juanito Diaz;Marciano Quintanilla Vizcaíno;M;37;marciano28@yahoo.com;+34874896480;cll 39 #60-48;Efectivo;HP Omen 16;HP;2;6000000;12000000;Asus TUF Gaming A15;Asus;1;4800000;4800000;;;null;null;null;1;15120000
321;14/11/2020;1:07:54 a. m.;Techcore Medellín #2;Medellín;Juan José Porcel-Riera;Chus Sevillano Canals;M;23;chus3@yahoo.com;+34882949750;cra 98 #82-79;Tarjeta Débito;Lenovo Legion 5 Pro;Lenovo;2;7200000;14400000;;;null;null;null;;;null;null;null;0;14400000
322;15/10/2022;1:18:23 a. m.;Techcore Cali;Cali;Jacinta Juárez Marín;Evita Villar Zurita;F;32;evita46@yahoo.com;+34941800218;cra 66 #52-49;Tarjeta Débito;Lenovo ThinkPad X1 Carbon;Lenovo;1;6800000;6800000;;;null;null;null;;;null;null;null;0;6800000
323;4/10/2017;3:44:53 p. m.;Techcore Pereira;Pereira;Amílcar Ortega-Alberto;Sebastián Ugarte;M;50;sebastian68@gmail.com;+34974378157;cll 40 #74-13;Billetera Digital;Dell Inspiron 15;Dell;1;3000000;3000000;Dell XPS 13;Dell;1;4800000;4800000;;;null;null;null;0;7800000
324;20/05/2019;2:05:47 a. m.;Techcore Pereira;Pereira;Carina Parejo Carranza;Xavier Jáuregui Gárate;M;40;xavier75@gmail.com;+34983967267;cll 81 #63-72;Tarjeta Crédito;Dell Latitude 7420;Dell;2;5600000;11200000;Dell Inspiron 15;Dell;1;3000000;3000000;;;null;null;null;0;14200000
325;9/09/2021;4:07:54 p. m.;Techcore Medellín #2;Medellín;Claudia Sastre-Quintero;Fernando de Varela;M;30;fernando10@gmail.com;+34741039123;cll 39 #32-54;Billetera Digital;Asus VivoBook 15;Asus;1;2400000;2400000;;;null;null;null;;;null;null;null;0;2400000
326;6/07/2023;2:58:58 a. m.;Techcore Bogotá #1;Bogotá;Aura del Bermúdez;Dani Solís Vega;M;25;No especificado;+34887642191;cll 51 #64-2;Transferencia;HP Spectre x360;HP;2;5200000;10400000;;;null;null;null;;;null;null;null;0;10400000
327;27/10/2017;5:58:01 a. m.;Techcore Medellín #1;Medellín;Ana Sofía Llopis Blázquez;Leonardo Manzano;M;34;No especificado;+34876377229;cra 59 #78-43;Transferencia;Acer Swift 3;Acer;1;2600000;2600000;;;null;null;null;;;null;null;null;0;2600000
328;23/10/2014;4:54:31 a. m.;Techcore Medellín #2;Medellín;Almudena Adelaida Lledó Garrido;Sonia Pineda Guzman;F;36;sonia86@yahoo.com;+34848252390;cra 7 #93-61;Tarjeta Crédito;Dell Inspiron 15;Dell;1;3000000;3000000;HP Omen 16;HP;2;6000000;12000000;;;null;null;null;0;15000000
329;8/06/2023;10:49:53 a. m.;Techcore Medellín #1;Medellín;Ana Sofía Llopis Blázquez;Pelayo Verdugo-Solís;M;43;pelayo25@yahoo.com;+34873879691;cra 40 #70-58;Tarjeta Crédito;Asus VivoBook 15;Asus;1;2400000;2400000;;;null;null;null;;;null;null;null;0;2400000
330;6/03/2021;8:34:42 p. m.;Techcore Bogotá #1;Bogotá;Griselda Arnaiz Palacio;Ainoa Marina Solís Pou;F;38;ainoa81@gmail.com;+34807917673;cra 19 #55-8;Tarjeta Crédito;Apple MacBook Air M1;Apple;1;5500000;5500000;Samsung Galaxy Book Pro;Samsung;1;4800000;4800000;Dell Inspiron 15;Dell;2;3000000;6000000;5;15485000
331;11/02/2021;8:22:08 a. m.;Techcore Medellín #1;Medellín;Eusebia Jara Macias;Hector Carretero-Villegas;M;23;hector44@hotmail.com;+34803288448;cra 38 #29-47;Tarjeta Débito;Apple MacBook Pro 16;Apple;2;9600000;19200000;;;null;null;null;;;null;null;null;0;19200000
332;28/02/2021;9:32:33 a. m.;Techcore Medellín #1;Medellín;Dominga del Alcántara;Jonatan Cuéllar Gutierrez;M;18;jonatan16@hotmail.com;+34876522334;cll 66 #95-56;Tarjeta Débito;Dell Latitude 7420;Dell;2;5600000;11200000;Microsoft Surface Pro 9;Microsoft;1;4400000;4400000;Acer Aspire 5;Acer;1;2000000;2000000;0;17600000
333;17/12/2022;1:48:28 p. m.;Techcore Bogotá #1;Bogotá;Aura del Bermúdez;Eusebio Andres;M;50;eusebio36@hotmail.com;+34849763875;cra 13 #43-21;Transferencia;Razer Book 13;Razer;2;6400000;12800000;Apple iMac 24;Apple;1;6400000;6400000;Dell Inspiron 15;Dell;1;3000000;3000000;0;22200000
334;4/05/2020;12:17:34 a. m.;Techcore Medellín #2;Medellín;Almudena Adelaida Lledó Garrido;Virginia Loreto Lago Maestre;F;46;virginia46@hotmail.com;+34945660906;cll 52 #35-32;Transferencia;HP Spectre x360;HP;2;5200000;10400000;HP Omen 16;HP;2;6000000;12000000;;;null;null;null;0;22400000
335;22/03/2021;12:20:35 p. m.;Techcore Pereira;Pereira;Jose Angel Rovira Adadia;Laura Montaña Chaves;F;20;laura66@yahoo.com;+34845544246;cll 24 #47-10;Tarjeta Crédito;Lenovo ThinkPad X1 Carbon;Lenovo;1;6800000;6800000;Lenovo IdeaPad 5;Lenovo;1;2800000;2800000;HP Envy 13;HP;1;4000000;4000000;15;11560000
336;12/02/2018;10:32:48 a. m.;Techcore Medellín #1;Medellín;Ana Sofía Llopis Blázquez;Claudio de Ojeda;M;46;claudio7@gmail.com;+34967558693;cll 52 #82-78;Billetera Digital;Lenovo Yoga 7i;Lenovo;2;4400000;8800000;Lenovo ThinkPad X1 Carbon;Lenovo;2;6800000;13600000;;;null;null;null;0;22400000
337;3/08/2025;12:42:13 a. m.;Techcore Cali;Cali;Basilio Marcos Barrena;Wilfredo Lledó;M;39;wilfredo65@gmail.com;+34888904978;cra 10 #75-64;Transferencia;Asus ZenBook 14;Asus;2;3800000;7600000;;;null;null;null;;;null;null;null;5;7220000
338;16/12/2018;12:04:58 p. m.;Techcore Bogotá #2;Bogotá;Armida Azorin Plaza;Nacio Peláez Tejero;M;51;nacio76@gmail.com;+34877005126;cll 10 #18-49;Billetera Digital;Lenovo IdeaPad 5;Lenovo;2;2800000;5600000;;;null;null;null;;;null;null;null;1;5040000
339;11/11/2018;1:05:58 a. m.;Techcore Medellín #2;Medellín;Almudena Adelaida Lledó Garrido;Alfonso Llorente;M;34;alfonso24@yahoo.com;+34916397575;cll 70 #66-48;Tarjeta Crédito;HP Pavilion 15;HP;1;3500000;3500000;Dell XPS 13;Dell;2;4800000;9600000;Lenovo Legion 5 Pro;Lenovo;2;7200000;14400000;0;27500000
340;1/06/2021;3:29:43 a. m.;Techcore Bogotá #2;Bogotá;Olivia Armas Ayuso;Victorino de Fiol;M;50;victorino48@gmail.com;+34923147229;cll 39 #26-7;Tarjeta Crédito;HP Spectre x360;HP;2;5200000;10400000;Apple MacBook Air M1;Apple;2;5500000;11000000;;;null;null;null;1;19260000
341;22/12/2017;8:09:26 a. m.;Techcore Pereira;Pereira;Carina Parejo Carranza;Rosa María Sobrino Arcos;F;21;rosa59@hotmail.com;+34938621056;cra 85 #88-27;Transferencia;Asus TUF Gaming A15;Asus;2;4800000;9600000;HP Pavilion 15;HP;1;3500000;3500000;Lenovo IdeaPad 5;Lenovo;1;2800000;2800000;0;15900000
342;12/07/2016;5:41:05 a. m.;Techcore Bogotá #2;Bogotá;Edu Juan Pedraza;Eduardo Tovar Folch;M;47;eduardo71@hotmail.com;+34721758609;cll 83 #94-59;Transferencia;Dell Inspiron 15;Dell;2;3000000;6000000;Apple MacBook Air M1;Apple;1;5500000;5500000;;;null;null;null;5;10925000
343;18/07/2016;5:42:43 a. m.;Techcore Bogotá #2;Bogotá;Edu Juan Pedraza;Emma Grande Delgado;F;40;emma91@yahoo.com;+34978512321;cll 22 #80-62;Billetera Digital;Lenovo ThinkPad X1 Carbon;Lenovo;2;6800000;13600000;;;null;null;null;;;null;null;null;0;13600000
344;11/10/2017;10:08:11 a. m.;Techcore Bogotá #2;Bogotá;Olivia Armas Ayuso;Ricardo Salgado Andres;M;31;ricardo42@gmail.com;+34978458117;cra 52 #62-90;Tarjeta Crédito;Microsoft Surface Laptop 4;Microsoft;2;5200000;10400000;HP Spectre x360;HP;1;5200000;5200000;;;null;null;null;0;15600000
345;6/10/2022;3:19:52 a. m.;Techcore Medellín #2;Medellín;Claudia Sastre-Quintero;Darío Ángel Vizcaíno;M;24;dario83@yahoo.com;+34900743657;cll 52 #81-85;Transferencia;Asus ZenBook 14;Asus;1;3800000;3800000;Acer Aspire 5;Acer;2;2000000;4000000;Apple MacBook Air M1;Apple;2;5500000;11000000;0;18800000
346;14/07/2024;12:24:10 p. m.;Techcore Pereira;Pereira;Carina Parejo Carranza;Saturnino Zorrilla Cortina;M;45;saturnino53@gmail.com;+34807709633;cra 19 #86-50;Efectivo;Lenovo IdeaPad 5;Lenovo;2;2800000;5600000;Samsung Galaxy Book Pro;Samsung;1;4800000;4800000;Asus ROG Strix G15;Asus;2;6400000;12800000;0;23200000
347;5/07/2020;10:00:28 p. m.;Techcore Cali;Cali;Jacinta Juárez Marín;Juana Bejarano-Corral;F;39;juana37@hotmail.com;+34972978219;cll 9 #59-4;Billetera Digital;Lenovo IdeaPad 5;Lenovo;2;2800000;5600000;Lenovo ThinkPad X1 Carbon;Lenovo;2;6800000;13600000;HP Pavilion 15;HP;1;3500000;3500000;0;22700000
348;9/06/2024;3:05:47 p. m.;Techcore Bogotá #1;Bogotá;Evaristo Guillen Peña;Amando Iborra Sevillano;M;36;amando48@yahoo.com;+34924144602;cra 11 #59-98;Transferencia;Asus ROG Strix G15;Asus;2;6400000;12800000;Lenovo IdeaPad 5;Lenovo;2;2800000;5600000;Apple MacBook Air M1;Apple;1;5500000;5500000;0;23900000
349;14/07/2022;6:57:06 a. m.;Techcore Cali;Cali;Clímaco Salinas Zabaleta;José Ángel Reina Colom;M;30;jose53@gmail.com;+34813056960;cra 13 #49-61;Billetera Digital;Samsung Galaxy Book Flex;Samsung;2;5600000;11200000;Acer Predator Helios 300;Acer;2;5600000;11200000;;;null;null;null;0;22400000
350;20/03/2015;1:25:59 a. m.;Techcore Cali;Cali;Basilio Marcos Barrena;Candelaria Prieto Lledó;F;33;candelaria26@hotmail.com;+34974505587;cll 36 #78-61;Tarjeta Débito;HP Omen 16;HP;1;6000000;6000000;HP Spectre x360;HP;2;5200000;10400000;Dell Alienware m15;Dell;1;8000000;8000000;0;24400000
